Field,Company,Skills Required,Link,Date
"Manager ,  Business
           
            Analysis",Morningstar India Pvt Ltd,"business requirements,technology leadership,user stories,sql,functional requirements,data
 
analysis
 
 ,business
 
analysis
 
 ,mining,edp",https://www.timesjobs.com/job-detail/manager-business-analysis-morningstar-india-pvt-ltd-canada-5-to-8-yrs-jobid-lq2WVC5ftfpzpSvf__PLUS__uAgZw==&source=srp,2022-02-10
"Sr. Professional ,  Business
           
            Analysis",Ingram Micro Inc.,"sql,.net,Business
 
Analysis",https://www.timesjobs.com/job-detail/sr-professional-business-analysis-ingram-micro-inc-mumbai-5-to-8-yrs-jobid-Pm0XQxb9ie9zpSvf__PLUS__uAgZw==&source=srp,2022-02-10
"Manager ,  Business
           
            Analysis",Morningstar India Pvt Ltd,"business requirements,technology leadership,user stories,sql,functional requirements,data
 
analysis
 
 ,business
 
analysis
 
 ,mining,edp",https://www.timesjobs.com/job-detail/manager-business-analysis-morningstar-india-pvt-ltd-canada-5-to-8-yrs-jobid-lq2WVC5ftfpzpSvf__PLUS__uAgZw==&source=srp,2022-02-10
"Sr. Professional ,  Business
           
            Analysis",Ingram Micro Inc.,"sql,.net,Business
 
Analysis",https://www.timesjobs.com/job-detail/sr-professional-business-analysis-ingram-micro-inc-mumbai-5-to-8-yrs-jobid-Pm0XQxb9ie9zpSvf__PLUS__uAgZw==&source=srp,2022-02-10
"Manager ,  Business
           
            Analysis",Morningstar India Pvt Ltd,"business requirements,technology leadership,user stories,sql,functional requirements,data
 
analysis
 
 ,business
 
analysis
 
 ,mining,edp",https://www.timesjobs.com/job-detail/manager-business-analysis-morningstar-india-pvt-ltd-canada-5-to-8-yrs-jobid-lq2WVC5ftfpzpSvf__PLUS__uAgZw==&source=srp,2022-02-10
